weighting,method,att_py,se_py,source_py,att_r,se_r,source_r,att_diff,se_diff
unweighted,reg,-1.615437211944462,4.687117323724314,python,-1.6154372119444,4.67897173697906,r,-6.195044477408373e-14,0.008145586745254008
unweighted,ipw,-0.8585625517498041,4.64938943686625,python,-0.858562550105571,4.6116983874669,r,-1.6442330830201968e-09,0.037691049399350085
unweighted,dr,-1.2256473257435707,4.978218496364547,python,-1.22564732423796,4.94280920593411,r,-1.5056107471878022e-09,0.03540929043043661
weighted,reg,-3.4592200593870497,2.3955892512392594,python,-3.45922005938704,2.38802225211587,r,-9.769962616701378e-15,0.0075669991233895395
weighted,ipw,-3.841696684443275,3.4117482875717395,python,-3.84169668458171,3.39418551596692,r,1.3843504120814032e-10,0.01756277160481945
weighted,dr,-3.756104598455008,3.2512676457012617,python,-3.75610459854472,3.24017968349724,r,8.971223763865055e-11,0.01108796220402164
